example_id,label
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,1
134,0
135,0
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,1
158,0
159,1
160,0
161,0
162,1
163,0
164,0
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,0
180,0
181,0
182,1
183,0
184,0
185,1
186,1
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,1
214,1
215,0
216,1
217,1
218,1
219,0
220,0
221,0
222,0
223,1
224,1
225,1
226,0
227,1
228,0
229,1
230,1
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,0
254,1
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,1
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,0
287,1
288,1
289,1
290,0
291,0
292,1
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,0
304,1
305,0
306,0
307,0
308,0
309,1
310,0
311,0
312,0
313,1
314,0
315,1
316,0
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,0
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,1
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,1
356,1
357,0
358,1
359,0
360,1
361,1
362,0
363,1
364,0
365,0
366,1
367,1
368,0
369,1
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,1
390,1
391,0
392,0
393,0
394,0
395,1
396,1
397,1
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,1
406,1
407,0
408,0
409,1
410,0
411,1
412,1
413,0
414,0
415,0
416,1
417,1
418,0
419,1
420,0
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,1
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,1
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,1
448,1
449,0
450,1
451,0
452,1
453,0
454,1
455,0
456,1
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,1
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,0
474,1
475,0
476,1
477,0
478,0
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,1
492,0
493,0
494,0
495,0
496,1
497,0
498,1
499,1
500,0
501,1
502,0
503,1
504,1
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,1
513,0
514,1
515,1
516,0
517,1
518,0
519,1
520,1
521,0
522,1
523,0
524,1
525,1
526,1
527,0
528,0
529,0
530,0
531,0
532,1
533,1
534,1
535,1
536,0
537,0
538,1
539,1
540,0
541,1
542,0
543,0
544,0
545,0
546,0
547,1
548,0
549,0
550,0
551,1
552,0
553,1
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,1
570,0
571,0
572,1
573,0
574,0
575,1
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,1
586,0
587,0
588,1
589,1
590,0
591,0
592,1
593,0
594,1
595,0
596,0
597,1
598,0
599,0
600,0
601,0
602,0
603,1
604,0
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,1
614,0
615,0
616,0
617,0
618,1
619,0
620,0
621,1
622,0
623,1
624,0
625,0
626,1
627,0
628,0
629,1
630,1
631,1
632,1
633,1
634,1
635,0
636,1
637,0
638,0
639,1
640,0
641,0
642,1
643,1
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,1
660,0
661,0
662,1
663,1
664,0
665,0
666,0
667,0
668,1
669,0
670,1
671,1
672,1
673,1
674,0
675,0
676,1
677,0
678,0
679,1
680,1
681,0
682,1
683,0
684,0
685,0
686,1
687,1
688,0
689,0
690,1
691,1
692,1
693,1
694,0
695,0
696,0
697,1
698,1
699,1
700,0
701,0
702,1
703,1
704,0
705,0
706,0
707,0
708,0
709,1
710,1
711,1
712,0
713,0
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,0
722,1
723,1
724,0
725,1
726,1
727,0
728,1
729,0
730,1
731,1
732,1
733,0
734,1
735,0
736,0
737,0
738,1
739,1
740,0
741,0
742,0
743,0
744,1
745,1
746,0
747,0
748,0
749,1
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,1
759,1
760,0
761,1
762,1
763,1
764,1
765,0
766,1
767,0
768,0
769,1
770,1
771,0
772,1
773,1
774,0
775,0
776,1
777,0
778,0
779,0
780,0
781,1
782,1
783,1
784,0
785,1
786,1
787,1
788,1
789,0
790,1
791,1
792,0
793,0
794,1
795,0
796,1
797,1
798,1
799,0
800,1
801,0
802,0
803,1
804,1
805,1
806,0
807,0
808,0
809,1
810,1
811,0
812,0
813,1
814,1
815,1
816,1
817,1
818,0
819,1
820,0
821,0
822,1
823,0
824,0
825,1
826,1
827,1
828,1
829,0
830,0
831,1
832,0
833,1
834,1
835,1
836,0
837,1
838,1
839,1
840,0
841,1
842,0
843,0
844,0
845,1
846,1
847,0
848,1
849,1
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,1
860,0
861,0
862,0
863,1
864,1
865,0
866,1
867,1
868,0
869,0
870,0
871,1
872,0
873,0
874,1
875,1
876,0
877,0
878,1
879,0
880,0
881,0
882,1
883,1
884,1
885,0
886,0
887,1
888,1
889,0
890,0
891,0
892,0
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,1
901,0
902,0
903,0
904,1
905,1
906,0
907,1
908,1
909,0
910,1
911,0
912,0
913,0
914,0
915,0
916,0
917,1
918,1
919,0
920,1
921,0
922,1
923,1
924,0
925,0
926,1
927,1
928,0
929,0
930,1
931,1
932,1
933,1
934,1
935,0
936,0
937,0
938,0
939,0
940,1
941,0
942,0
943,1
944,1
945,1
946,0
947,0
948,1
949,0
950,0
951,0
952,0
953,0
954,1
955,0
956,0
957,0
958,1
959,0
960,0
961,0
962,1
963,1
964,0
965,0
966,0
967,1
968,0
969,1
970,1
971,0
972,0
973,0
974,0
975,0
976,1
977,1
978,0
979,1
980,0
981,0
982,1
983,1
984,1
985,0
986,0
987,1
988,1
989,1
990,1
991,1
992,0
993,0
994,1
995,1
996,0
997,1
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,1
1005,0
1006,1
1007,0
1008,0
1009,1
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,1
1017,1
1018,0
1019,1
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,1
1029,1
1030,0
1031,1
1032,0
1033,0
1034,1
1035,1
1036,0
1037,1
1038,0
1039,0
1040,0
1041,1
1042,0
1043,0
1044,0
1045,0
1046,1
1047,0
1048,1
1049,0
1050,0
1051,0
1052,0
1053,1
1054,1
1055,0
1056,1
1057,0
1058,0
1059,0
1060,1
1061,1
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,1
1069,0
1070,1
1071,1
1072,0
1073,0
1074,0
1075,0
1076,1
1077,0
1078,0
1079,1
1080,1
1081,0
1082,0
1083,0
1084,1
1085,1
1086,1
1087,1
1088,0
1089,1
1090,1
1091,1
1092,1
1093,0
1094,1
1095,1
1096,1
1097,0
1098,1
1099,0
1100,1
1101,0
1102,0
1103,1
1104,1
1105,0
1106,0
1107,1
1108,0
1109,1
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,1
1117,0
1118,1
1119,0
1120,0
1121,1
1122,0
1123,0
1124,0
1125,0
1126,1
1127,0
1128,0
1129,0
1130,0
1131,0
1132,1
1133,0
1134,1
1135,0
1136,0
1137,0
1138,0
1139,1
1140,1
1141,0
1142,0
1143,0
1144,1
1145,0
1146,1
1147,1
1148,0
1149,0
1150,0
1151,1
1152,1
1153,1
1154,0
1155,0
1156,0
1157,0
1158,1
1159,0
1160,0
1161,0
1162,0
1163,0
1164,1
1165,0
1166,1
1167,0
1168,0
1169,1
1170,0
1171,1
1172,1
1173,0
1174,0
1175,1
1176,1
1177,1
1178,1
1179,0
1180,0
1181,0
1182,0
1183,0
1184,1
1185,1
1186,0
1187,1
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,1
1199,1
1200,0
1201,1
1202,1
1203,1
1204,1
1205,0
1206,1
1207,0
1208,1
1209,0
1210,1
1211,1
1212,1
1213,0
1214,0
1215,1
1216,0
1217,0
1218,1
1219,1
1220,0
1221,1
1222,0
1223,0
1224,0
1225,0
1226,1
1227,0
1228,0
1229,0
